,mass A
t,x
6.909,0.65
6.943,0.648
6.977,0.643
7.01,0.634
7.044,0.625
7.078,0.618
7.112,0.604
7.145,0.592
7.179,0.583
7.213,0.571
7.246,0.562
7.28,0.555
7.314,0.551
7.347,0.551
7.381,0.551
7.415,0.554
7.449,0.562
7.482,0.573
7.516,0.582
7.55,0.592
7.583,0.606
7.617,0.617
7.651,0.627
7.685,0.634
7.718,0.643
7.752,0.645
7.786,0.648
7.819,0.647
7.853,0.643
7.887,0.638
7.92,0.631
7.954,0.618
7.988,0.607
8.022,0.596
8.055,0.584
8.089,0.575
8.123,0.565
8.156,0.559
8.19,0.555
8.224,0.553
8.257,0.551
8.291,0.554
8.325,0.56
8.359,0.568
8.392,0.578
8.426,0.591
8.46,0.6
8.493,0.611
8.527,0.623
8.561,0.631
8.595,0.64
8.628,0.646
8.662,0.649
8.696,0.648
8.729,0.646
8.763,0.641
8.797,0.633
8.83,0.624
8.864,0.61
8.898,0.602
8.932,0.588
8.965,0.582
8.999,0.57
9.033,0.563
9.066,0.556
9.1,0.549
9.134,0.552
9.167,0.554
9.201,0.557
9.235,0.565
9.269,0.575
9.302,0.584
9.336,0.596
9.37,0.609
9.403,0.618
9.437,0.629
9.471,0.637
9.505,0.642
9.538,0.647
9.572,0.649
9.606,0.645
9.639,0.643
9.673,0.635
9.707,0.627
9.74,0.616
9.774,0.606
9.808,0.594
9.842,0.585
9.875,0.571
9.909,0.565
9.943,0.557
9.976,0.555
10.01,0.552
10.044,0.553
10.078,0.555
10.111,0.563
10.145,0.571
10.179,0.58
10.212,0.593
10.246,0.603
10.28,0.615
10.313,0.623
10.347,0.632
10.381,0.64
10.415,0.647
10.448,0.647
10.482,0.646
10.516,0.642
10.549,0.637
10.583,0.63
10.617,0.619
10.65,0.61
10.684,0.599
10.718,0.587
10.752,0.575
10.785,0.568
10.819,0.559
10.853,0.555
10.886,0.553
10.92,0.555
10.954,0.556
10.988,0.562
11.021,0.567
11.055,0.577
11.089,0.59
11.122,0.601
11.156,0.611
11.19,0.62
11.223,0.631
11.257,0.639
11.291,0.642
11.325,0.647
11.358,0.646
11.392,0.646
11.426,0.639
11.459,0.633
11.493,0.622
11.527,0.614
11.56,0.6
11.594,0.592
11.628,0.582
11.662,0.571
11.695,0.563
11.729,0.559
11.763,0.554
11.796,0.553
11.83,0.554
11.864,0.559
11.898,0.563
11.931,0.576
11.965,0.586
11.999,0.595
12.032,0.604
12.066,0.615
12.1,0.625
12.133,0.635
12.167,0.64
12.201,0.645
12.235,0.647
12.268,0.643
12.302,0.641
12.336,0.634
12.369,0.624
12.403,0.616
12.437,0.607
12.47,0.595
12.504,0.582
12.538,0.572
12.572,0.567
12.605,0.562
12.639,0.554
12.673,0.552
12.706,0.554
12.74,0.557
12.774,0.563
12.808,0.572
12.841,0.583
12.875,0.594
12.909,0.599
12.942,0.614
12.976,0.624
13.01,0.632
13.043,0.639
13.077,0.643
13.111,0.645
13.145,0.647
13.178,0.642
13.212,0.635
13.246,0.63
13.279,0.619
13.313,0.609
13.347,0.6
13.381,0.59
13.414,0.577
13.448,0.569
13.482,0.563
13.515,0.56
13.549,0.555
13.583,0.556
13.616,0.557
13.65,0.564
13.684,0.568
13.718,0.578
13.751,0.587
13.785,0.6
13.819,0.611
13.852,0.618
13.886,0.629
13.92,0.635
13.953,0.64
13.987,0.642
14.021,0.645
14.055,0.642
14.088,0.637
