,mass A
t,x
5.124,0.631
5.157,0.63
5.191,0.626
5.225,0.622
5.258,0.613
5.292,0.606
5.326,0.594
5.359,0.584
5.393,0.573
5.427,0.564
5.461,0.553
5.494,0.547
5.528,0.543
5.562,0.543
5.595,0.54
5.629,0.541
5.663,0.548
5.697,0.553
5.73,0.563
5.764,0.571
5.798,0.585
5.831,0.594
5.865,0.602
5.899,0.614
5.932,0.619
5.966,0.626
6,0.627
6.034,0.63
6.067,0.627
6.101,0.623
6.135,0.617
6.168,0.606
6.202,0.598
6.236,0.588
6.27,0.577
6.303,0.567
6.337,0.557
6.371,0.548
6.404,0.547
6.438,0.536
6.472,0.54
6.506,0.54
6.539,0.545
6.573,0.552
6.607,0.561
6.64,0.569
6.674,0.581
6.708,0.594
6.741,0.601
6.775,0.61
6.809,0.621
6.843,0.621
6.876,0.629
6.91,0.631
6.944,0.627
6.977,0.623
7.011,0.618
7.045,0.611
7.079,0.602
7.112,0.593
7.146,0.582
7.18,0.569
7.213,0.56
7.247,0.551
7.281,0.547
7.314,0.543
7.348,0.54
7.382,0.54
7.416,0.545
7.449,0.548
7.483,0.557
7.517,0.571
7.55,0.574
7.584,0.585
7.618,0.6
7.652,0.606
7.685,0.614
7.719,0.619
7.753,0.629
7.786,0.629
7.82,0.63
7.854,0.625
7.887,0.619
7.921,0.614
7.955,0.604
7.989,0.594
8.022,0.581
8.056,0.573
8.09,0.567
8.123,0.555
8.157,0.547
8.191,0.539
8.225,0.543
8.258,0.543
8.292,0.541
8.326,0.547
8.359,0.556
8.393,0.564
8.427,0.571
8.461,0.585
8.494,0.593
8.528,0.605
8.562,0.613
8.595,0.618
8.629,0.623
8.663,0.627
8.696,0.63
8.73,0.629
8.764,0.622
8.798,0.614
8.831,0.607
8.865,0.598
8.899,0.588
8.932,0.577
8.966,0.571
9,0.56
9.034,0.552
9.067,0.543
9.101,0.541
9.135,0.541
9.168,0.543
9.202,0.544
9.236,0.556
9.269,0.561
9.303,0.571
9.337,0.578
9.371,0.589
9.404,0.605
9.438,0.606
9.472,0.614
9.505,0.622
9.539,0.626
9.573,0.629
9.607,0.627
9.64,0.621
9.674,0.615
9.708,0.609
9.741,0.601
9.775,0.592
9.809,0.577
9.843,0.572
9.876,0.56
9.91,0.553
9.944,0.551
9.977,0.545
10.011,0.54
10.045,0.544
10.078,0.545
10.112,0.551
10.146,0.557
10.18,0.567
10.213,0.577
10.247,0.586
10.281,0.594
10.314,0.605
10.348,0.614
10.382,0.618
10.416,0.626
10.449,0.629
10.483,0.626
10.517,0.623
10.55,0.617
10.584,0.611
10.618,0.606
10.651,0.597
10.685,0.586
10.719,0.574
10.753,0.569
10.786,0.557
10.82,0.552
10.854,0.547
10.887,0.544
10.921,0.543
10.955,0.544
10.989,0.547
11.022,0.553
11.056,0.564
11.09,0.574
11.123,0.584
11.157,0.594
11.191,0.602
11.225,0.614
11.258,0.618
11.292,0.625
11.326,0.626
11.359,0.627
11.393,0.623
11.427,0.623
11.46,0.617
11.494,0.604
11.528,0.594
11.562,0.589
11.595,0.58
11.629,0.571
11.663,0.557
11.696,0.552
11.73,0.545
11.764,0.544
11.798,0.541
11.831,0.544
11.865,0.549
11.899,0.553
11.932,0.557
11.966,0.568
12,0.58
12.033,0.593
12.067,0.598
12.101,0.604
12.135,0.614
12.168,0.622
12.202,0.626
12.236,0.626
12.269,0.626
12.303,0.621
12.337,0.617
12.371,0.609
12.404,0.601
12.438,0.592
12.472,0.584
12.505,0.572
12.539,0.564
12.573,0.555
12.607,0.551
12.64,0.545
12.674,0.544
12.708,0.54
12.741,0.545
12.775,0.552
12.809,0.556
12.842,0.567
12.876,0.573
12.91,0.582
12.944,0.593
12.977,0.601
13.011,0.61
13.045,0.617
13.078,0.622
13.112,0.625
13.146,0.626
13.18,0.623
13.213,0.618
13.247,0.613
13.281,0.605
13.314,0.597
13.348,0.586
13.382,0.576
13.415,0.571
13.449,0.556
13.483,0.552
13.517,0.547
13.55,0.543
13.584,0.543
13.618,0.544
13.651,0.551
13.685,0.551
13.719,0.563
13.753,0.571
13.786,0.571
13.82,0.589
13.854,0.604
13.887,0.609
13.921,0.619
13.955,0.623
13.989,0.621
14.022,0.625
14.056,0.626
14.09,0.621
14.123,0.617
14.157,0.61
